df_pt__117_coupe_68,2071,1,1189,2,3711,3,44,4,14,5,1403,6,1403,7,-1,-1,10,9,1599,10,3556,11,1403,12,-1,-1,2333,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3256,21,-1,-1,-1,-1,4111,24,37487,25,37481,26
df_pt_dodge_viper_gtsr_oreca_00,2095,1,1190,2,3735,3,44,4,14,5,1427,6,1427,7,-1,-1,10,9,1623,10,3580,11,1427,12,-1,-1,2333,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3257,21,-1,-1,-1,-1,4135,24,43780,25,43774,26
df_pt_ford_gt_concept_gulf_02,2100,1,1189,2,3740,3,44,4,16,5,1432,6,1432,7,-1,-1,10,9,1628,10,3585,11,1432,12,-1,-1,2333,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2425,20,3257,21,-1,-1,-1,-1,4140,24,43403,25,43397,26
df_pt_gtr_concept_lm_01,2105,1,1190,2,3745,3,44,4,16,5,1437,6,1437,7,-1,-1,10,9,1633,10,3590,11,1437,12,-1,-1,2343,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2250,20,3257,21,-1,-1,-1,-1,4145,24,44040,25,44034,26
df_pt_impreza_wrc_03,2106,1,1190,2,3746,3,44,4,14,5,1438,6,1438,7,-1,-1,10,9,1634,10,3591,11,1438,12,-1,-1,2344,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2251,20,3257,21,-1,-1,-1,-1,4146,24,41595,25,41589,26
df_pt_nsx_r_proto_lm_01,2117,1,1190,2,3757,3,44,4,16,5,1449,6,1449,7,-1,-1,10,9,1645,10,3602,11,1449,12,-1,-1,2333,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2253,20,3257,21,-1,-1,-1,-1,4157,24,43648,25,43642,26
df_pt_rx8_lm_01,2125,1,1190,2,3765,3,44,4,16,5,1457,6,1457,7,-1,-1,10,9,1653,10,3610,11,1457,12,-1,-1,2333,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2254,20,3257,21,-1,-1,-1,-1,4165,24,43277,25,43271,26
df_pt_dirt__500_f_65,2077,1,1189,2,3717,3,44,4,16,5,1409,6,1409,7,-1,-1,10,9,1605,10,3562,11,1409,12,-1,-1,2333,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3256,21,-1,-1,-1,-1,4117,24,45905,25,45899,26
df_pt_dirt_alpine_a110_16s_73,2078,1,1189,2,3718,3,44,4,16,5,1410,6,1410,7,-1,-1,10,9,1606,10,3563,11,1410,12,-1,-1,2333,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3256,21,-1,-1,-1,-1,4118,24,46188,25,46182,26
df_pt_dirt_impreza_wrc_03,2106,1,1190,2,3746,3,44,4,14,5,1438,6,1438,7,-1,-1,10,9,1634,10,3591,11,1438,12,-1,-1,2344,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2251,20,3257,21,-1,-1,-1,-1,4146,24,45856,25,45850,26
df_pt_dirt_impreza_wrx_sti_02,2108,1,1189,2,3748,3,44,4,14,5,1440,6,1440,7,-1,-1,10,9,1636,10,3593,11,1440,12,-1,-1,2346,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3256,21,-1,-1,-1,-1,4148,24,45854,25,45848,26
