ft_dome_zero_78_a,714,31,199,32,198,32,199,32,6,33,6,33,7,33,0,0
ft_carol_360_deluxe_62_a,734,31,199,32,198,32,199,32,6,33,6,33,7,33,0,0
ft_mazda6_tmv_01_a,689,31,199,32,198,32,199,32,6,33,6,33,7,33,0,0
ft_mazda6_tmv_n1_01_a,689,31,199,32,198,32,199,32,6,33,6,33,7,33,0,0
ft_mazda6_sport_23z_03_a,688,31,199,32,198,32,199,32,6,33,6,33,7,33,0,0
ft_mazdaspeed_6_05_a,688,31,199,32,198,32,199,32,6,33,6,33,7,33,0,0
ft_demio_glx_99_a,660,31,199,32,198,32,199,32,6,33,6,33,7,33,0,0
ft_demio_sport_03_a,735,31,199,32,198,32,199,32,6,33,6,33,7,33,0,0
ft_az1_92_a,732,31,199,32,198,32,199,32,6,33,6,33,7,33,0,0
ft_protege_sport20_02_a,719,31,199,32,198,32,199,32,6,33,6,33,7,33,0,0
ft_mazda_323f_r_93_a,675,31,199,32,198,32,199,32,6,33,6,33,7,33,0,0
ft_miata_us_89_a,709,31,199,32,198,32,199,32,6,33,6,33,7,33,0,0
ft_miata_j_lim_91_a,709,31,199,32,198,32,199,32,6,33,6,33,7,33,0,0
ft_miata_vspl2_93_a,709,31,199,32,198,32,199,32,6,33,6,33,7,33,0,0
ft_miata_j_lim2_93_a,709,31,199,32,198,32,199,32,6,33,6,33,7,33,0,0
ft_miata_sspl1_95_a,709,31,199,32,198,32,199,32,6,33,6,33,7,33,0,0
ft_miata_vr_lim_95_a,736,31,199,32,198,32,199,32,6,33,6,33,7,33,0,0
ft_miata_sr_lim_97_a,709,31,199,32,198,32,199,32,6,33,6,33,7,33,0,0
ft_miata_18rs_98_a,736,31,199,32,198,32,199,32,6,33,6,33,7,33,0,0
ft_miata_rs_00_a,836,31,199,32,198,32,199,32,6,33,6,33,7,33,0,0
ft__110s_67_a,924,31,199,32,198,32,199,32,6,33,6,33,7,33,0,0
ft__110s_68_a,884,31,199,32,198,32,199,32,6,33,6,33,7,33,0,0
ft_rx7_gt_lim_eu_85_a,668,31,199,32,198,32,199,32,6,33,6,33,7,33,0,0
