rt_dome_zero_78_a,853,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_carol_360_deluxe_62_a,734,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_mazda6_tmv_01_a,689,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_mazda6_tmv_n1_01_a,689,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_mazda6_sport_23z_03_a,688,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_mazdaspeed_6_05_a,688,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_demio_glx_99_a,660,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_demio_sport_03_a,735,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_az1_92_a,732,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_protege_sport20_02_a,719,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_mazda_323f_r_93_a,675,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_miata_us_89_a,709,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_miata_j_lim_91_a,709,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_miata_vspl2_93_a,709,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_miata_j_lim2_93_a,709,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_miata_sspl1_95_a,709,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_miata_vr_lim_95_a,736,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_miata_sr_lim_97_a,709,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_miata_18rs_98_a,736,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_miata_rs_00_a,836,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt__110s_67_a,924,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt__110s_68_a,884,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_rx7_gt_lim_eu_85_a,668,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_rx7_a3_eu_90_a,676,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_rx7_gtx_eu_90_a,668,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_murao_rx7_03_a,771,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_rx7_r_eu_91_a,679,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_rx7_rz_eu_92_a,679,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_rx7_r_eu_93_a,679,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_rx7_rz_eu_93_a,686,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_rx7_rz_eu_95_a,686,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_rx7_r_s_eu_95_a,686,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_rx7_rz_eu_96_a,686,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_rx7_rs_eu_96_a,686,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_rx7_rsr_97_a,686,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_rx7_rs_98_a,686,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_rx7_rs_00_a,686,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_rx7_rz_00_a,686,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_rx7_r_br_01_a,679,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_rx7_spiritr_a_02_a,686,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_rx7_lm_race_00_a,698,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_amemiya_aspara_rx7_04_a,757,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_rx8_concept_01_a,907,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_rx8_tmv_01_a,690,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_rx8_lm_01_a,693,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_rx8_03_a,737,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_rx8_typee_03_a,737,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_rx8_types_03_a,690,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt_kusabi_concept_03_a,738,31,199,32,198,32,199,32,6,33,6,33,7,33,0
rt__787b_91_a,711,31,199,32,198,32,199,32,6,33,6,33,7,33,0
